,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0,Ccdc3,384.813937482034,2.65557832492396,0.543246287889885,4.88835061393414,1.01684314307816e-06,0.000669845420502739
1,Camk1d,7129.24838407707,-3.14430880033624,0.302445984655803,-10.3962656469538,2.57840820338993e-25,5.28430436794747e-22
2,Cytip,428.778977854997,-1.49358811912544,0.384759585941873,-3.88187370424886,0.000103654709711008,0.0347620203749007
3,Ptgis,159.270002365549,2.7650210127,0.748028248939106,3.69641255744218,0.000218667526995493,0.0593135666975276
4,Zfp831,78.2434389770959,4.48758720788153,1.18423880023956,3.78942761119946,0.000150994803022883,0.044372552904792
5,Mme,58.4668255647744,3.55545536949376,0.984601286353565,3.61106106479025,0.000304946844512191,0.0803534935289623
6,AI838599,134.29393153483,5.60652007569045,1.1406703991897,4.91510964050014,8.87327866697472e-07,0.000606176388934625
7,Ptprd,407.420351725525,1.80183221677967,0.401824723528234,4.48412482178457,7.3213798059868e-06,0.00355375922424807
8,Gm830,181.671647165024,2.78654434951803,0.70086402772063,3.97587012502341,7.01223889032239e-05,0.0253609306533326
9,Rnu11,18.0531164528879,-8.21995937697605,2.12472065266385,-3.86872475055501,0.000109406062216917,0.0360356217426969
10,Klhdc7a,145.542853002582,2.77779479021962,0.783772951446459,3.54413199012952,0.000393907992064734,0.0995292179949867
11,Stk32b,549.96416233736,1.38135755927885,0.363761457589282,3.79742694136255,0.000146205848212268,0.0442092929553326
12,Cckar,63.8168629738742,6.53948521352585,1.7088980015207,3.82672646799665,0.000129858677390874,0.0399207217412445
13,Parm1,1790.15846776871,1.46062021395249,0.285115476370135,5.12290750592688,3.00859953878384e-07,0.000241276602142904
14,Fras1,150.71661774576,2.63184476677757,0.648334030980641,4.05939630038663,4.91997514069674e-05,0.0193082854191811
15,Gm24407,64.0532944959887,-8.59215462884998,1.64153526482971,-5.23421872983115,1.65684159141382e-07,0.00014552591977918
16,Cdk8,47425.3299579939,-3.94435883589032,0.293996181132926,-13.4163607863564,4.84949075799981e-41,1.78897714062613e-37
17,Kl,257.170170024267,2.53499076204434,0.525510139045221,4.82386651311823,1.40801668612376e-06,0.000895547164674231
18,Parp12,1052.54841396626,1.40077863502529,0.311835853190083,4.49203842565027,7.05446911494562e-06,0.00351674818446411
19,Rny3,65.7405938756106,-10.0845108955853,1.6668709709814,-6.04996491698924,1.44877380598355e-09,1.4845907139648e-06
20,Gm24601,39.5441309212065,-6.85419051326393,1.46456827433712,-4.68000750348508,2.86864417840667e-06,0.00165350443345972
21,Ret,142.49022822892,2.59296677130864,0.621869138251396,4.16963411080293,3.05089045013131e-05,0.0127894714437891
22,Slc6a13,82.9150454357566,4.90130141233053,1.31719510476028,3.72101398996814,0.000198424444302188,0.0546259533605054
23,A2m,1032.48039545562,2.33050488702556,0.358336239473779,6.50368182254725,7.8377584980449e-11,9.63783036642921e-08
24,Abca15,101.570131150116,4.87177482680967,1.18924422244754,4.09653016163764,4.19388868141431e-05,0.017190283717486
25,Bc1,1335.45945135224,-1.34569210213026,0.295065476347059,-4.56065588827968,5.09940888153306e-06,0.00270060386665728
26,Rprl3,26.6003870493246,-6.25931753252439,1.63053445242361,-3.83881341680367,0.000123630331418598,0.0393165769485524
27,Fam155a,744.439778529675,1.79082795747622,0.352377287442638,5.08213219550294,3.73221511123109e-07,0.000286836282194406
28,Tenm3,435.133333062631,-1.86405751641944,0.520573414253993,-3.58077739926601,0.000342573423043228,0.0889967153243991
29,Glb1l2,220.392106531775,2.67277822724347,0.69716758281534,3.83376722200725,0.000126195569327704,0.0394521572245677
30,Dnaja4,273.218086448589,1.79529802158571,0.459161690749477,3.90994731867829,9.23162524540435e-05,0.0315328384539784
31,Peak1,6338.25080040588,-0.947913743161539,0.253729242923522,-3.73592626628084,0.000187025468583126,0.0522679510305417
32,Rn7sk,2034.9878908158,-5.66684575404964,0.361458564533304,-15.6777188593286,2.14831969114327e-55,1.32085855677125e-51
33,Mir6236,27544.8393321556,-4.35121244428757,0.264008555562912,-16.4813312015969,4.99723018318541e-61,4.60869553644275e-57
34,Lars2,13832.0170968015,-3.77645329183529,0.287574916549808,-13.1320677656572,2.15685517852439e-39,5.68331339541177e-36
35,Rnu3a,32.6791458991012,-6.60595783092237,1.51213939444602,-4.36861697749928,1.25035838314371e-05,0.00586149841121011
36,Gm15398,261.230416719212,-2.0809699583141,0.476738135560947,-4.36501677354919,1.27113004309246e-05,0.00586149841121011
37,Snord118,39.1718564543794,-9.33754021830434,1.79348020181605,-5.20638042664163,1.92559676690054e-07,0.000161443783479457
38,Taco1,761.212522699359,-1.96033041233418,0.332173051052923,-5.90153357149329,3.6013812104905e-09,3.49618296986828e-06
39,Sostdc1,169.511779270946,2.96069865400126,0.725349762053852,4.08175311951291,4.46972626663206e-05,0.0179226306495714
40,Gm22513,457.066828731415,-8.10512910556167,0.600597274705846,-13.4951146915066,1.67094931206455e-41,7.70516501525767e-38
41,Gphn,5591.90958799485,-2.40033029822763,0.255580394046501,-9.39168400292434,5.90485018607878e-21,9.90136015292937e-18
42,Gm19951,13921.037827575,-4.21052161608629,0.254074139512554,-16.5720195851662,1.11033122979838e-61,2.04800595336311e-57
43,Rtl1,98.301446675456,3.52445676083557,0.932215646300793,3.7807311804101,0.000156368443416182,0.044372552904792
44,Inhba,567.288884885181,2.11733053338353,0.470599646413475,4.49921828356671,6.82037975776155e-06,0.00349449735088644
45,Ror2,216.595870614181,1.99135899220086,0.516748724605061,3.85363117000978,0.00011637886908572,0.0376597936892298
46,Edil3,349.639161361596,1.76057768312184,0.421228519540706,4.17962602589567,2.91988870824525e-05,0.0125249644706009
47,Hexb,3380.08572041412,-2.02605259115766,0.26556836283196,-7.62911880599143,2.3636373899786e-14,3.3536378198581e-11
48,Gm48099,146.41697580625,-6.43514735349291,0.736430188404062,-8.73829923707867,2.36645992900033e-18,3.6374461158676e-15
49,Kctd12,1155.1669088807,1.25882580312984,0.332930674041525,3.78104482788759,0.000156171547232603,0.044372552904792
50,Enpp2,13431.8548357602,1.14464924449121,0.247260110626042,4.62933241270924,3.66846476737649e-06,0.00205044947376543
51,Khdrbs3,773.664892091488,1.40868053472205,0.336037042263056,4.19203944075696,2.76457918032704e-05,0.0121411102336029
52,Rnu12,28.9531112923674,-8.90143771002947,1.89847940743218,-4.68871965383563,2.74919714793801e-06,0.00163577230302312
53,Nectin3,629.01278053567,1.50868833606524,0.351264494889722,4.29502086892922,1.74676904228213e-05,0.00785833048412045
54,Cmss1,40422.3113541366,-4.57193105000445,0.920244594270082,-4.96816941764359,6.75879019229897e-07,0.000479484173449825
55,Lix1,397.148977823972,2.32077795572388,0.576745519336628,4.02392021769538,5.72373142514644e-05,0.021545760436087
56,Rps28,5059.71145091447,-1.21760770111694,0.259253824769108,-4.69658529513052,2.64546792882964e-06,0.00162652186490876
57,H2-K1,23565.4039019592,0.998760643156934,0.249532931079492,4.00252038412824,6.26712663608091e-05,0.0231194301605025
58,Gm26917,28637.1568613782,-3.27530071633235,0.288418514710126,-11.3560695630937,6.91879526498218e-30,1.59521473328245e-26
59,CT010467.1,40.6449724371633,-4.24296779658421,1.08173797017928,-3.92236189682887,8.76851545368152e-05,0.0305160882156897
60,Gm42418,290852.654546458,-5.35364906985107,0.864880422000895,-6.19004539085928,6.01468924646525e-10,6.93380894694072e-07
61,Daam2,1178.24636901864,1.56803784604541,0.38908493614894,4.03006567554488,5.57612710085494e-05,0.0214274300781811
62,Ttr,6021.11037762947,2.1561752927937,0.314555477161216,6.85467413332819,7.14752590511777e-12,9.41686537999267e-09
63,Asxl3,119.462490968035,4.24474770905485,0.930942123059178,4.55962578544211,5.1244855154787e-06,0.00270060386665728
64,Syt4,1199.7591410534,-1.41124247150896,0.38326880977065,-3.68212188295065,0.000231300775531674,0.0618310551403148
65,Chsy3,195.500013827171,2.81641508114846,0.715879123562233,3.93420479582349,8.34725897176121e-05,0.029608690718103
66,n-R5-8s1,1081.32044468809,-6.92554974140865,1.3905170337625,-4.98055728427094,6.34014312695577e-07,0.000467775759906797
67,Afap1l2,1538.68133893032,2.02868247466595,0.373610815483345,5.42993508376202,5.63745543786782e-08,5.1991432775736e-05
68,Rpl3-ps1,291.622485871768,-1.78471925769219,0.471493466492417,-3.78524705966608,0.000153555948936661,0.044372552904792
69,Col4a5,2133.2408281038,1.74495350003137,0.283140952281028,6.162843933291,7.14499198434728e-10,7.7523163030168e-07
70,Htr2c,78.3698731069151,3.06329248825547,0.862671140378499,3.55093887447243,0.00038385955633558,0.0983373543973581
71,mt-Rnr1,27477.3130522423,-3.53330802986351,0.266254324899039,-13.2704249262554,3.43626669915838e-40,1.05636565443294e-36
72,mt-Rnr2,47111.1032272891,-2.64930050435297,0.255387130558676,-10.37366486932,3.26747729074563e-25,6.02686186278031e-22
